Name,Country,Continent,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Un Sil Kwon,Democratic People's Republic  of Korea,Asia,28,160,52,F,Archery,Women's Individual,,,,
Nada Kamel,Egypt,Africa,21,162,66,F,Archery,Women's Individual,,,,
Reena Parnat,Estonia,Europe,18,167,54,F,Archery,Women's Individual,,,,
Berengere Schuh,France,Europe,28,163,54,F,Archery,Women's Individual,,,,
Kristine Esebua,Georgia,Europe,27,161,55,F,Archery,Women's Individual,,,,
Elena Richter,Germany,Europe,23,174,67,F,Archery,Women's Individual,,,,
Evangelia Psarra,Greece,Europe,38,172,63,F,Archery,Women's Individual,,,,
Rand Al-Mashhadani,Iraq,Asia,17,160,50,F,Archery,Women's Individual,,,,
Zahra Dehghanabnavi,Islamic Republic of Iran,Asia,24,156,57,F,Archery,Women's Individual,,,,
Anastassiya Bannova,Kazakhstan,Asia,23,168,56,F,Archery,Women's Individual,,,,
Nurul Syafiqah Hashim,Malaysia,Asia,18,170,55,F,Archery,Women's Individual,,,,
Bishindee Urantungalag,Mongolia,Asia,35,175,74,F,Archery,Women's Individual,,,,
Rachelle Anne Cabral,Philippines,Asia,27,170,74,F,Archery,Women's Individual,,,,
Natalia Lesniak,Poland,Europe,21,165,74,F,Archery,Women's Individual,,,,
Maureen Tuimalealiifano,Samoa,Oceania,41,175,70,F,Archery,Women's Individual,,,,
Karen Hultzer,South Africa,Africa,46,175,95,F,Archery,Women's Individual,,,,
Iria Grandal,Spain,Europe,21,161,55,F,Archery,Women's Individual,,,,
Christine Bjerendal,Sweden,Europe,25,161,66,F,Archery,Women's Individual,,,,
Nathalie Dielen,Switzerland,Europe,46,163,73,F,Archery,Women's Individual,,,,
Begul Lokluoglu,Turkey,Europe,23,161,58,F,Archery,Women's Individual,,,,
Leidys Brito,Venezuela,Americas,28,169,77,F,Archery,Women's Individual,,,,
Carina Christiansen,Denmark,Europe,21,171,67,F,Archery,"Women's Individual, Women's Team",,,,
Louise Laursen,Denmark,Europe,24,170,60,F,Archery,"Women's Individual, Women's Team",,,,
Maja Jager,Denmark,Europe,20,168,55,F,Archery,"Women's Individual, Women's Team",,,,
Alison Williamson,Great Britain,Europe,40,175,75,F,Archery,"Women's Individual, Women's Team",,,,
Amy Oliver,Great Britain,Europe,25,173,62,F,Archery,"Women's Individual, Women's Team",,,,
Naomi Folkard,Great Britain,Europe,28,169,67,F,Archery,"Women's Individual, Women's Team",,,,
Bombayla Devi Laishram,India,Asia,27,,,F,Archery,"Women's Individual, Women's Team",,,,
Chekrovolu Swuro,India,Asia,29,,,F,Archery,"Women's Individual, Women's Team",,,,
Deepika Kumari,India,Asia,18,,,F,Archery,"Women's Individual, Women's Team",,,,
Natalia Valeeva,Italy,Europe,42,168,63,F,Archery,"Women's Individual, Women's Team",,,,
Pia Lionetti,Italy,Europe,25,161,58,F,Archery,"Women's Individual, Women's Team",,,,
Kaori Kawanaka,Japan,Asia,21,159,50,F,Archery,"Women's Individual, Women's Team",YES,,,0.33
Miki Kanie,Japan,Asia,23,162,64,F,Archery,"Women's Individual, Women's Team",YES,,,0.33
Ren Hayakawa,Japan,Asia,24,179,65,F,Archery,"Women's Individual, Women's Team",YES,,,0.33
Aida Roman,Mexico,Americas,24,168,61,F,Archery,"Women's Individual, Women's Team",YES,,1,
Alejandra Valencia,Mexico,Americas,17,176,74,F,Archery,"Women's Individual, Women's Team",,,,
Mariana Avitia,Mexico,Americas,18,164,61,F,Archery,"Women's Individual, Women's Team",YES,,,1
Jing Xu,People's Republic of China,Asia,21,169,70,F,Archery,"Women's Individual, Women's Team",YES,,0.33,
Ming Cheng,People's Republic of China,Asia,26,165,65,F,Archery,"Women's Individual, Women's Team",YES,,0.33,
Yuting Fang,People's Republic of China,Asia,22,170,62,F,Archery,"Women's Individual, Women's Team",YES,,0.33,
Bo Bae Ki,Republic of Korea,Asia,24,168,55,F,Archery,"Women's Individual, Women's Team",YES,1.33,,
Hyeonju Choi,Republic of Korea,Asia,27,172,65,F,Archery,"Women's Individual, Women's Team",YES,0.33,,
Sung Jin Lee,Republic of Korea,Asia,27,165,60,F,Archery,"Women's Individual, Women's Team",YES,0.33,,
Inna Stepanova,Russian Federation,Europe,22,175,62,F,Archery,"Women's Individual, Women's Team",,,,
Ksenia Perova,Russian Federation,Europe,23,170,74,F,Archery,"Women's Individual, Women's Team",,,,
Chia-En Lin,Taipei (Chinese Taipei),Asia,19,166,55,F,Archery,"Women's Individual, Women's Team",,,,
Chien-Ying Le,Taipei (Chinese Taipei),Asia,22,165,65,F,Archery,"Women's Individual, Women's Team",,,,
