Name,Country,Continent,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Zaw Win Thet,Myanmar,Asia,21,162,55,M,Athletics,Men's 400m,,,,
Ahmed Mohamed Al-Merjabi,Oman,Asia,21,170,65,M,Athletics,Men's 400m,,,,
Bahaa Al Farra,Palestine,Asia,21,175,65,M,Athletics,Men's 400m,,,,
Nelson Stone,Papua New Guinea,Oceania,28,179,75,M,Athletics,Men's 400m,,,,
Augusto Stanley,Paraguay,Americas,25,189,80,M,Athletics,Men's 400m,,,,
Yousef Ahmed Masrahi,Saudi Arabia,Asia,24,,,M,Athletics,Men's 400m,,,,
Rabah Yousif,Sudan,Africa,25,184,71,M,Athletics,Men's 400m,,,,
Vitaliy Butrym,Ukraine,Europe,21,178,67,M,Athletics,Men's 400m,,,,
Tabarie Henry,"Virgin Islands, US",Americas,24,185,77,M,Athletics,Men's 400m,,,,
Michael Bultheel,Belgium,Europe,26,189,81,M,Athletics,Men's 400m Hurdles,,,,
Kenneth Medwood,Belize,Americas,24,178,75,M,Athletics,Men's 400m Hurdles,,,,
Maoulida Daroueche,Comoros,Africa,22,175,70,M,Athletics,Men's 400m Hurdles,,,,
Josef Prorok,Czech Republic,Europe,24,190,81,M,Athletics,Men's 400m Hurdles,,,,
Winder Cuevas,Dominican Republic,Americas,24,170,65,M,Athletics,Men's 400m Hurdles,,,,
Rasmus Magi,Estonia,Europe,20,188,74,M,Athletics,Men's 400m Hurdles,,,,
Silvio Schirrmeister,Germany,Europe,23,193,82,M,Athletics,Men's 400m Hurdles,,,,
David Greene,Great Britain,Europe,26,185,78,M,Athletics,Men's 400m Hurdles,,,,
Jack Green,Great Britain,Europe,20,194,80,M,Athletics,Men's 400m Hurdles,,,,
Rhys Williams,Great Britain,Europe,28,185,73,M,Athletics,Men's 400m Hurdles,,,,
Periklis Iakovakis,Greece,Europe,33,183,77,M,Athletics,Men's 400m Hurdles,,,,
Jose Reynaldo Bencosme de Leon,Italy,Europe,20,185,73,M,Athletics,Men's 400m Hurdles,,,,
Leford Green,Jamaica,Americas,25,191,91,M,Athletics,Men's 400m Hurdles,,,,
Roxroy Cato,Jamaica,Americas,24,183,77,M,Athletics,Men's 400m Hurdles,,,,
Akihiko Nakamura,Japan,Asia,21,180,73,M,Athletics,Men's 400m Hurdles,,,,
Takayuki Kishimoto,Japan,Asia,22,170,60,M,Athletics,Men's 400m Hurdles,,,,
Tetsuya Tateno,Japan,Asia,20,177,73,M,Athletics,Men's 400m Hurdles,,,,
Viktor Leptikov,Kazakhstan,Asia,25,196,80,M,Athletics,Men's 400m Hurdles,,,,
Vincent Kiplangat Kosgei,Kenya,Africa,26,172,62,M,Athletics,Men's 400m Hurdles,,,,
Kurt Couto,Mozambique,Africa,27,180,71,M,Athletics,Men's 400m Hurdles,,,,
Amaechi Morton,Nigeria,Africa,22,,,M,Athletics,Men's 400m Hurdles,,,,
Wen Cheng,People's Republic of China,Asia,23,188,76,M,Athletics,Men's 400m Hurdles,,,,
Zhilong Li,People's Republic of China,Asia,24,180,70,M,Athletics,Men's 400m Hurdles,,,,
Jorge Paula,Portugal,Europe,27,190,85,M,Athletics,Men's 400m Hurdles,,,,
Eric Alejandro,Puerto Rico,Americas,26,,83,M,Athletics,Men's 400m Hurdles,,,,
Jamele Mason,Puerto Rico,Americas,22,,,M,Athletics,Men's 400m Hurdles,,,,
Javier Culson,Puerto Rico,Americas,28,,,M,Athletics,Men's 400m Hurdles,YES,,,1
Viacheslav Sakaev,Russian Federation,Europe,24,178,65,M,Athletics,Men's 400m Hurdles,,,,
Mamadou Kasse Hanne,Senegal,Africa,25,172,70,M,Athletics,Men's 400m Hurdles,,,,
Emir Bekric,Serbia,Europe,21,195,88,M,Athletics,Men's 400m Hurdles,,,,
Brent Larue,Slovenia,Europe,25,193,85,M,Athletics,Men's 400m Hurdles,,,,
Kariem Hussein,Switzerland,Europe,23,190,77,M,Athletics,Men's 400m Hurdles,,,,
Chieh Chen,Taipei (Chinese Taipei),Asia,20,181,65,M,Athletics,Men's 400m Hurdles,,,,
Lankantien Lamboni,Togo,Africa,22,188,78,M,Athletics,Men's 400m Hurdles,,,,
Jehue Gordon,Trinidad and Tobago,Americas,20,188,81,M,Athletics,Men's 400m Hurdles,,,,
Stanislav Melnykov,Ukraine,Europe,25,183,72,M,Athletics,Men's 400m Hurdles,,,,
Kerron Clement,United States of America,Americas,26,188,86,M,Athletics,Men's 400m Hurdles,,,,
Michael Tinsley,United States of America,Americas,28,185,74,M,Athletics,Men's 400m Hurdles,YES,,1,
Andres Silva,Uruguay,Americas,26,179,76,M,Athletics,Men's 400m Hurdles,,,,
Artem Dyatlov,Uzbekistan,Asia,23,,,M,Athletics,Men's 400m Hurdles,,,,
Brendan Cole,Australia,Oceania,31,187,78,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Tristan Thomas,Australia,Oceania,26,185,70,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Amaurys R Valle,Cuba,Americas,22,,,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Omar Cisneros,Cuba,Americas,22,,,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Felix Sanchez,Dominican Republic,Americas,34,175,64,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",YES,1,,
Boniface Mucheru,Kenya,Africa,20,170,68,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Cornel Fredericks,South Africa,Africa,22,178,68,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
L J van Zyl,South Africa,Africa,27,182,80,M,Athletics,"Men's 400m Hurdles, Men's 4 x 400m Relay",,,,
Steven Solomon,Australia,Oceania,19,186,73,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Chris Brown,Bahamas,Americas,33,178,75,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Demetrius Pinder,Bahamas,Americas,23,,,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Ramon Miller,Bahamas,Americas,25,170,67,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Jonathan Borlee,Belgium,Europe,24,180,67,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Kevin Borlee,Belgium,Europe,24,180,67,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Luguelin Santos,Dominican Republic,Americas,19,173,61,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",YES,,1,
Conrad Williams,Great Britain,Europe,30,182,75,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Martyn Rooney,Great Britain,Europe,25,198,81,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Nigel Levine,Great Britain,Europe,23,178,68,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Dane Hyatt,Jamaica,Americas,28,183,86,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Errol Nolan,Jamaica,Americas,20,178,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Jermaine Gonzales,Jamaica,Americas,27,191,87,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Rusheen McDonald,Jamaica,Americas,19,170,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Yuzo Kanemaru,Japan,Asia,24,177,75,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Marcin Marciniszyn,Poland,Europe,29,184,80,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Maksim Dyldin,Russian Federation,Europe,25,178,68,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Pavel Trenikhin,Russian Federation,Europe,26,180,70,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Oscar Pistorius,South Africa,Africa,25,181,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Deon Lendore,Trinidad and Tobago,Americas,19,179,75,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Lalonde Gordon,Trinidad and Tobago,Americas,23,179,83,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",YES,,,1
Renny Quow,Trinidad and Tobago,Americas,24,160,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Bryshon Nellum,United States of America,Americas,23,183,77,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Lashawn Merritt,United States of America,Americas,26,188,84,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Tony McQuay,United States of America,Americas,22,180,70,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Albert Bravo,Venezuela,Americas,24,198,85,M,Athletics,"Men's 400m, Men's 4 x 400m Relay",,,,
Rabah Aboud,Algeria,Africa,31,180,64,M,Athletics,Men's 5000m,,,,
Javier Carriqueo,Argentina,Americas,33,175,62,M,Athletics,Men's 5000m,,,,
Collis Birmingham,Australia,Oceania,27,189,71,M,Athletics,Men's 5000m,,,,
Craig Mottram,Australia,Oceania,32,188,74,M,Athletics,Men's 5000m,,,,
David McNeill,Australia,Oceania,25,173,52,M,Athletics,Men's 5000m,,,,
Hayle Ibrahimov,Azerbaijan,Europe,22,168,58,M,Athletics,Men's 5000m,,,,
Bilisuma Shugi,Bahrain,Asia,23,173,58,M,Athletics,Men's 5000m,,,,
Olivier Irabaruta,Burundi,Africa,21,171,61,M,Athletics,Men's 5000m,,,,
Ruben Sanca,Cape Verde,Africa,25,188,63,M,Athletics,Men's 5000m,,,,
Mumin Gala,Djibouti,Africa,25,,,M,Athletics,Men's 5000m,,,,
Abrar Osman Adem,Eritrea,Africa,18,168,58,M,Athletics,Men's 5000m,,,,
Amanuel Mesel,Eritrea,Africa,21,177,59,M,Athletics,Men's 5000m,,,,
Dejen Gebremeskel,Ethiopia,Africa,22,178,57,M,Athletics,Men's 5000m,,,,
Hagos Gebrhiwet,Ethiopia,Africa,18,167,65,M,Athletics,Men's 5000m,,,,
Yenew Alamirew,Ethiopia,Africa,22,178,57,M,Athletics,Men's 5000m,,,,
Hassan Hirt,France,Europe,32,178,65,M,Athletics,Men's 5000m,,,,
Arne Gabius,Germany,Europe,31,186,66,M,Athletics,Men's 5000m,,,,
Nick McCormick,Great Britain,Europe,30,188,70,M,Athletics,Men's 5000m,,,,
Alistair Ian Cragg,Ireland,Europe,32,183,61,M,Athletics,Men's 5000m,,,,
Isiah Kiplangat Koech,Kenya,Africa,18,,,M,Athletics,Men's 5000m,,,,
Thomas Pkemei Longosiwa,Kenya,Africa,24,170,57,M,Athletics,Men's 5000m,,,,
Juan Luis Barrios,Mexico,Americas,29,176,65,M,Athletics,Men's 5000m,,,,
Aziz Lahbabi,Morocco,Africa,21,169,55,M,Athletics,Men's 5000m,,,,
Soufiyan Bouqantar,Morocco,Africa,18,173,54,M,Athletics,Men's 5000m,,,,
Rene Herrera,Philippines,Asia,33,172,65,M,Athletics,Men's 5000m,,,,
Abdullah Abdulaziz Aljoud,Saudi Arabia,Asia,37,,,M,Athletics,Men's 5000m,,,,
Hussain Jamaan Alhamdah,Saudi Arabia,Asia,29,,,M,Athletics,Men's 5000m,,,,
Francisco Javier Alves,Spain,Europe,31,182,66,M,Athletics,Men's 5000m,,,,
Jesus Espana,Spain,Europe,33,173,54,M,Athletics,Men's 5000m,,,,
Abraham Kiplimo,Uganda,Africa,23,165,52,M,Athletics,Men's 5000m,,,,
Geofrey Kusuro,Uganda,Africa,23,172,57,M,Athletics,Men's 5000m,,,,
Serhiy Lebid,Ukraine,Europe,37,180,65,M,Athletics,Men's 5000m,,,,
Bernard Lagat,United States of America,Americas,37,173,59,M,Athletics,Men's 5000m,,,,
Lopez Lomong,United States of America,Americas,27,180,69,M,Athletics,Men's 5000m,,,,
Cameron Levins,Canada,Americas,23,178,65,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Teklemariam Medhin,Eritrea,Africa,23,184,61,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Kenenisa Bekele,Ethiopia,Africa,30,167,59,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Mohamed Farah,Great Britain,Europe,29,165,58,M,Athletics,"Men's 5000m, Men's 10,000m",YES,1,,
Daniele Meucci,Italy,Europe,26,178,63,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Yuki Sato,Japan,Asia,25,178,60,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Moukheld Al-Outaibi,Saudi Arabia,Asia,36,,,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Polat Kemboi Arikan,Turkey,Europe,21,175,62,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Moses Ndiema Kipsiro,Uganda,Africa,25,174,54,M,Athletics,"Men's 5000m, Men's 10,000m",,,,
Galen Rupp,United States of America,Americas,26,180,61,M,Athletics,"Men's 5000m, Men's 10,000m",YES,,1,
Luke Adams,Australia,Oceania,35,189,70,M,Athletics,Men's 50km Race Walk,,,,
Nathan Deakes,Australia,Oceania,34,185,66,M,Athletics,Men's 50km Race Walk,,,,
Edward Araya,Chile,Americas,26,176,61,M,Athletics,Men's 50km Race Walk,,,,
Fredy Hernandez,Colombia,Americas,34,170,59,M,Athletics,Men's 50km Race Walk,,,,
Andres Chocho,Ecuador,Americas,28,165,55,M,Athletics,Men's 50km Race Walk,,,,
Xavier Moreno,Ecuador,Americas,32,168,52,M,Athletics,Men's 50km Race Walk,,,,
Emerson Hernandez,El Salvador,Americas,23,167,61,M,Athletics,Men's 50km Race Walk,,,,
Antti Kempas,Finland,Europe,31,191,67,M,Athletics,Men's 50km Race Walk,,,,
Jarkko Kinnunen,Finland,Europe,28,188,69,M,Athletics,Men's 50km Race Walk,,,,
Cedric Houssaye,France,Europe,32,178,65,M,Athletics,Men's 50km Race Walk,,,,
Yohann Diniz,France,Europe,34,185,70,M,Athletics,Men's 50km Race Walk,,,,
Maciej Rosiewicz,Georgia,Europe,35,,,M,Athletics,Men's 50km Race Walk,,,,
Christopher Linke,Germany,Europe,23,190,65,M,Athletics,Men's 50km Race Walk,,,,
Dominic King,Great Britain,Europe,29,178,70,M,Athletics,Men's 50km Race Walk,,,,
Jaime Quiyuch,Guatemala,Americas,24,178,57,M,Athletics,Men's 50km Race Walk,,,,
Brendan Boyce,Ireland,Europe,25,183,76,M,Athletics,Men's 50km Race Walk,,,,
Colin Griffin,Ireland,Europe,30,185,71,M,Athletics,Men's 50km Race Walk,,,,
Alex Schwazer,Italy,Europe,27,187,70,M,Athletics,Men's 50km Race Walk,,,,
Marco de Luca,Italy,Europe,31,188,72,M,Athletics,Men's 50km Race Walk,,,,
Koichiro Morioka,Japan,Asia,27,184,66,M,Athletics,Men's 50km Race Walk,,,,
Takayuki Tanii,Japan,Asia,29,167,57,M,Athletics,Men's 50km Race Walk,,,,
Yuki Yamazaki,Japan,Asia,28,179,63,M,Athletics,Men's 50km Race Walk,,,,
Vitaliy Anichkin,Kazakhstan,Asia,23,170,60,M,Athletics,Men's 50km Race Walk,,,,
Igors Kazakevics,Latvia,Europe,32,176,76,M,Athletics,Men's 50km Race Walk,,,,
Tadas Suskevicius,Lithuania,Europe,27,176,65,M,Athletics,Men's 50km Race Walk,,,,
Horacio Nava,Mexico,Americas,30,180,64,M,Athletics,Men's 50km Race Walk,,,,
Jose Leyver,Mexico,Americas,26,164,52,M,Athletics,Men's 50km Race Walk,,,,
Omar Zepeda,Mexico,Americas,35,177,68,M,Athletics,Men's 50km Race Walk,,,,
Trond Nymark,Norway,Europe,35,,,M,Athletics,Men's 50km Race Walk,,,,
Jianbo Li,People's Republic of China,Asia,25,174,60,M,Athletics,Men's 50km Race Walk,,,,
Tianfeng Si,People's Republic of China,Asia,28,182,60,M,Athletics,Men's 50km Race Walk,,,,
Lukasz Nowak,Poland,Europe,23,194,78,M,Athletics,Men's 50km Race Walk,,,,
Rafal Fedaczynski,Poland,Europe,31,168,58,M,Athletics,Men's 50km Race Walk,,,,
Rafal Sikora,Poland,Europe,25,177,73,M,Athletics,Men's 50km Race Walk,,,,
Pedro Isidro,Portugal,Europe,27,175,58,M,Athletics,Men's 50km Race Walk,,,,
Dong-Young Kim,Republic of Korea,Asia,32,176,65,M,Athletics,Men's 50km Race Walk,,,,
Junghyun Yim,Republic of Korea,Asia,24,182,66,M,Athletics,Men's 50km Race Walk,,,,
Marius Cocioran,Romania,Europe,29,178,76,M,Athletics,Men's 50km Race Walk,,,,
Sergey Bakulin,Russian Federation,Europe,25,169,58,M,Athletics,Men's 50km Race Walk,,,,
Sergey Kirdyapkin,Russian Federation,Europe,32,177,54,M,Athletics,Men's 50km Race Walk,,,,
Nenad Filipovic,Serbia,Europe,33,182,72,M,Athletics,Men's 50km Race Walk,,,,
Matej Toth,Slovakia,Europe,29,185,73,M,Athletics,Men's 50km Race Walk,,,,
Milos Batovsky,Slovakia,Europe,33,180,68,M,Athletics,Men's 50km Race Walk,,,,
Marc Mundell,South Africa,Africa,29,189,77,M,Athletics,Men's 50km Race Walk,,,,
Benjamin Sanchez,Spain,Europe,27,185,70,M,Athletics,Men's 50km Race Walk,,,,
Jesus Angel Garcia,Spain,Europe,42,172,64,M,Athletics,Men's 50km Race Walk,,,,
Mikel Odriozola,Spain,Europe,39,178,67,M,Athletics,Men's 50km Race Walk,,,,
Ihor Hlavan,Ukraine,Europe,21,172,62,M,Athletics,Men's 50km Race Walk,,,,
Oleksiy Kazanin,Ukraine,Europe,30,172,65,M,Athletics,Men's 50km Race Walk,,,,
Serhiy Budza,Ukraine,Europe,27,180,70,M,Athletics,Men's 50km Race Walk,,,,
John Nunn,United States of America,Americas,34,188,78,M,Athletics,Men's 50km Race Walk,,,,
Manuel Antonio,Angola,Africa,23,177,69,M,Athletics,Men's 800m,,,,
Anis Ananenka,Belarus,Europe,26,176,65,M,Athletics,Men's 800m,,,,
Nijel Amos,Botswana,Africa,18,179,60,M,Athletics,Men's 800m,YES,,2,
Fabiano Pecanha,Brazil,Americas,30,186,74,M,Athletics,Men's 800m,,,,
Kleberson Davide,Brazil,Americas,27,173,68,M,Athletics,Men's 800m,,,,
Samorn Kieng,Cambodia,Asia,29,170,60,M,Athletics,Men's 800m,,,,
Geoffrey Harris,Canada,Americas,25,170,64,M,Athletics,Men's 800m,,,,
Rafith Rodriguez,Colombia,Americas,23,188,68,M,Athletics,Men's 800m,,,,
Andy Gonzalez,Cuba,Americas,24,,,M,Athletics,Men's 800m,,,,
Jakub Holusa,Czech Republic,Europe,24,183,72,M,Athletics,Men's 800m,,,,
Andreas Bube,Denmark,Europe,25,177,65,M,Athletics,Men's 800m,,,,
Hamada Mohamed,Egypt,Africa,19,178,63,M,Athletics,Men's 800m,,,,
Mohammed Aman,Ethiopia,Africa,18,175,58,M,Athletics,Men's 800m,,,,
Pierre-Ambroise Bosse,France,Europe,20,183,73,M,Athletics,Men's 800m,,,,
Soren Ludolph,Germany,Europe,24,182,68,M,Athletics,Men's 800m,,,,
Andrew Osagie,Great Britain,Europe,24,189,72,M,Athletics,Men's 800m,,,,
Gareth Warburton,Great Britain,Europe,29,186,72,M,Athletics,Men's 800m,,,,
Michael Rimmer,Great Britain,Europe,26,185,67,M,Athletics,Men's 800m,,,,
Derek Mandell,Guam,Oceania,25,173,61,M,Athletics,Men's 800m,,,,
Moise Joseph,Haiti,Americas,30,,,M,Athletics,Men's 800m,,,,
Tamas Kazi,Hungary,Europe,27,180,68,M,Athletics,Men's 800m,,,,
Adnan Taess Akkar,Iraq,Asia,32,165,78,M,Athletics,Men's 800m,,,,
Sajad Moradi,Islamic Republic of Iran,Asia,29,185,75,M,Athletics,Men's 800m,,,,
Masato Yokota,Japan,Asia,24,177,63,M,Athletics,Men's 800m,,,,
Anthony Chemut,Kenya,Africa,19,161,68,M,Athletics,Men's 800m,,,,
David Lekuta Rudisha,Kenya,Africa,23,,,M,Athletics,Men's 800m,YES,1,,
Timothy Kitum,Kenya,Africa,17,172,60,M,Athletics,Men's 800m,YES,,,1
Mohammad Al-Azemi,Kuwait,Asia,30,187,65,M,Athletics,Men's 800m,,,,
Erzhan Askarov,Kyrgyzstan,Asia,26,172,70,M,Athletics,Men's 800m,,,,
Moussa Camara,Mali,Africa,24,,,M,Athletics,Men's 800m,,,,
Brice Etes,Monaco,Europe,28,185,71,M,Athletics,Men's 800m,,,,
Amine El Manaoui,Morocco,Africa,20,186,66,M,Athletics,Men's 800m,,,,
Robert Lathouwers,Netherlands,Europe,29,190,75,M,Athletics,Men's 800m,,,,
Edgar Cortez,Nicaragua,Americas,22,170,55,M,Athletics,Men's 800m,,,,
Adam Kszczot,Poland,Europe,22,178,68,M,Athletics,Men's 800m,,,,
Marcin Lewandowski,Poland,Europe,25,179,64,M,Athletics,Men's 800m,,,,
Musaeb Abdulrahman Balla,Qatar,Asia,23,176,60,M,Athletics,Men's 800m,,,,
Ivan Tukhtachev,Russian Federation,Europe,23,174,60,M,Athletics,Men's 800m,,,,
Yuriy Borzakovskiy,Russian Federation,Europe,31,182,73,M,Athletics,Men's 800m,,,,
Abdulaziz Ladan Mohammed,Saudi Arabia,Asia,21,,,M,Athletics,Men's 800m,,,,
Andre Olivier,South Africa,Africa,22,192,76,M,Athletics,Men's 800m,,,,
Antonio Manuel Reina,Spain,Europe,31,186,72,M,Athletics,Men's 800m,,,,
Kevin Lopez,Spain,Europe,22,174,62,M,Athletics,Men's 800m,,,,
Luis Alberto Marco,Spain,Europe,25,184,70,M,Athletics,Men's 800m,,,,
Abubaker Kaki,Sudan,Africa,23,176,63,M,Athletics,Men's 800m,,,,
Ismail Ahmed Ismail,Sudan,Africa,27,191,73,M,Athletics,Men's 800m,,,,
Julius Mutekanga,Uganda,Africa,24,176,76,M,Athletics,Men's 800m,,,,
Duane Solomon,United States of America,Americas,27,191,77,M,Athletics,Men's 800m,,,,
Nick Symmonds,United States of America,Americas,28,178,75,M,Athletics,Men's 800m,,,,
Arnold Sorina,Vanuatu,Oceania,24,175,60,M,Athletics,Men's 800m,,,,
Prince Mumba,Zambia,Africa,27,180,67,M,Athletics,Men's 800m,,,,
Taoufik Makhloufi,Algeria,Africa,24,176,70,M,Athletics,"Men's 800m, Men's 1500m",YES,1,,
Jeffrey Riseley,Australia,Oceania,25,192,74,M,Athletics,"Men's 800m, Men's 1500m",,,,
Belal Mansoor Ali,Bahrain,Asia,23,167,61,M,Athletics,"Men's 800m, Men's 1500m",,,,
Eduard Mikhan,Belarus,Europe,23,195,86,M,Athletics,Men's Decathlon,,,,
Hans van Alphen,Belgium,Europe,30,191,92,M,Athletics,Men's Decathlon,,,,
Luiz Alberto de Araujo,Brazil,Americas,25,,,M,Athletics,Men's Decathlon,,,,
Damian Warner,Canada,Americas,22,184,83,M,Athletics,Men's Decathlon,,,,
Gonzalo Barroilhet,Chile,Americas,25,193,94,M,Athletics,Men's Decathlon,,,,
Leonel Suarez,Cuba,Americas,24,,,M,Athletics,Men's Decathlon,YES,,,1
Yordani Garcia,Cuba,Americas,23,,,M,Athletics,Men's Decathlon,,,,
Roman Sebrle,Czech Republic,Europe,37,186,87,M,Athletics,Men's Decathlon,,,,
Mikk Pahapill,Estonia,Europe,29,197,95,M,Athletics,Men's Decathlon,,,,
Kevin Mayer,France,Europe,20,185,75,M,Athletics,Men's Decathlon,,,,
Jan Felix Knobel,Germany,Europe,23,192,91,M,Athletics,Men's Decathlon,,,,
Pascal Behrenbruch,Germany,Europe,27,196,94,M,Athletics,Men's Decathlon,,,,
Rico Freimuth,Germany,Europe,24,196,92,M,Athletics,Men's Decathlon,,,,
Daniel Awde,Great Britain,Europe,24,182,82,M,Athletics,Men's Decathlon,,,,
Kurt Felix,Grenada,Americas,24,184,62,M,Athletics,Men's Decathlon,,,,
Maurice Smith,Jamaica,Americas,31,175,67,M,Athletics,Men's Decathlon,,,,
Keisuke Ushiro,Japan,Asia,26,196,95,M,Athletics,Men's Decathlon,,,,
Dmitriy Karpov,Kazakhstan,Asia,31,198,98,M,Athletics,Men's Decathlon,,,,
Jangy Addy,Liberia,Africa,27,188,88,M,Athletics,Men's Decathlon,,,,
Darius Draudvila,Lithuania,Europe,29,187,90,M,Athletics,Men's Decathlon,,,,
Eelco Sintnicolaas,Netherlands,Europe,25,186,81,M,Athletics,Men's Decathlon,,,,
Ingmar Vos,Netherlands,Europe,26,186,80,M,Athletics,Men's Decathlon,,,,
Brent Newdick,New Zealand,Oceania,27,186,90,M,Athletics,Men's Decathlon,,,,
Ilya Shkurenev,Russian Federation,Europe,21,191,82,M,Athletics,Men's Decathlon,,,,
Sergey Sviridov,Russian Federation,Europe,21,192,85,M,Athletics,Men's Decathlon,,,,
Mihail Dudas,Serbia,Europe,22,184,84,M,Athletics,Men's Decathlon,,,,
Willem Coertzen,South Africa,Africa,29,186,80,M,Athletics,Men's Decathlon,,,,
Oleksiy Kasyanov,Ukraine,Europe,26,191,87,M,Athletics,Men's Decathlon,,,,
Ashton Eaton,United States of America,Americas,24,185,82,M,Athletics,Men's Decathlon,YES,1,,
Trey Hardee,United States of America,Americas,28,196,96,M,Athletics,Men's Decathlon,YES,,1,
Rifat Artikov,Uzbekistan,Asia,29,195,92,M,Athletics,Men's Decathlon,,,,
Benn Harradine,Australia,Oceania,29,198,115,M,Athletics,Men's Discus Throw,,,,
Julian Wruck,Australia,Oceania,21,198,116,M,Athletics,Men's Discus Throw,,,,
Scott Martin,Australia,Oceania,29,190,135,M,Athletics,Men's Discus Throw,,,,
Gerhard Mayer,Austria,Europe,32,191,109,M,Athletics,Men's Discus Throw,,,,
Ronald Juliao,Brazil,Americas,27,194,113,M,Athletics,Men's Discus Throw,,,,
Martin Maric,Croatia,Europe,28,197,120,M,Athletics,Men's Discus Throw,,,,
Roland Varga,Croatia,Europe,34,196,125,M,Athletics,Men's Discus Throw,,,,
Jorge Y Fernandez,Cuba,Americas,24,,,M,Athletics,Men's Discus Throw,,,,
Yunio Lastre,Cuba,Americas,30,,,M,Athletics,Men's Discus Throw,,,,
Apostolos Parellis,Cyprus,Europe,27,186,110,M,Athletics,Men's Discus Throw,,,,
Omar Ahmed El Ghazaly,Egypt,Africa,28,199,125,M,Athletics,Men's Discus Throw,,,,
Aleksander Tammert,Estonia,Europe,39,196,124,M,Athletics,Men's Discus Throw,,,,
Gerd Kanter,Estonia,Europe,33,196,127,M,Athletics,Men's Discus Throw,YES,,,1
Mart Israel,Estonia,Europe,28,190,128,M,Athletics,Men's Discus Throw,,,,
Markus Munch,Germany,Europe,26,207,130,M,Athletics,Men's Discus Throw,,,,
Martin Wierig,Germany,Europe,25,202,124,M,Athletics,Men's Discus Throw,,,,
Robert Harting,Germany,Europe,27,201,126,M,Athletics,Men's Discus Throw,YES,1,,
Abdul Buhari,Great Britain,Europe,30,192,125,M,Athletics,Men's Discus Throw,,,,
Brett Morse,Great Britain,Europe,23,190,110,M,Athletics,Men's Discus Throw,,,,
Lawrence Okoye,Great Britain,Europe,20,197,129,M,Athletics,Men's Discus Throw,,,,
Vikas Gowda,India,Asia,29,,,M,Athletics,Men's Discus Throw,,,,
Ehsan Hadadi,Islamic Republic of Iran,Asia,27,192,110,M,Athletics,Men's Discus Throw,YES,,1,
Jason Morgan,Jamaica,Americas,29,183,79,M,Athletics,Men's Discus Throw,,,,
Traves Smikle,Jamaica,Americas,20,183,84,M,Athletics,Men's Discus Throw,,,,
Virgilijus Alekna,Lithuania,Europe,40,199,135,M,Athletics,Men's Discus Throw,,,,
Danijel Furtula,Montenegro,Europe,20,195,115,M,Athletics,Men's Discus Throw,,,,
Erik Cadee,Netherlands,Europe,28,201,120,M,Athletics,Men's Discus Throw,,,,
Piotr Malachowski,Poland,Europe,29,193,130,M,Athletics,Men's Discus Throw,,,,
